ProcessID	OperationID	BuildID	WUnit	StationID	ClockNumber	ScanInTime	ScanOutTime	RedirectedAt	Plant	FlowLine	SCDDTE	plannedtime
2/140/4-5 MAINLINE  	80	A099           	261084         	AB45ML08  	102367	2022-07-02 15:04:03.770	2022-07-02 15:11:39.700	0	010            	1-8 TON   	2022-06-05	19.4
1-3T MAST MAINLINE  	10	A968           	220034         	AB61010   	102219	2022-07-02 16:50:33.393	2022-07-02 16:53:09.070	0	010            	1-8 TON   	2022-07-01	5.1665
1-3T CYLINDER SUB   	10	A968           	220034         	AB62030   	102379	2022-07-02 16:51:54.623	2022-07-02 16:54:46.457	0	010            	1-8 TON   	2022-07-01	4.4999
1-3T MAST MAINLINE  	20	A968           	220034         	AB61020   	102272	2022-07-02 16:54:34.237	2022-07-02 16:59:12.553	0	010            	1-8 TON   	2022-07-01	8.1159
1-3T MAST VALVE SUB 	10	A968           	220034         	AB62040   	102267	2022-07-02 16:57:33.213	2022-07-02 17:02:59.433	0	010            	1-8 TON   	2022-07-01	5.2964
1-3T MAST MAINLINE  	30	A968           	220034         	AB61030   	102188	2022-07-02 17:00:57.070	2022-07-02 17:05:23.623	0	010            	1-8 TON   	2022-07-01	11.4994
1-3T CARRIAGE SUB   	10	A968           	220034         	AB62050   	102415	2022-07-02 17:10:28.397	2022-07-02 17:10:52.260	0	010            	1-8 TON   	2022-07-01	9.42
1-3T MAST MAINLINE  	40	A968           	220034         	AB61040   	600455	2022-07-02 17:17:53.327	2022-07-02 17:20:36.957	0	010            	1-8 TON   	2022-07-01	7.8331
1-3T MAST MAINLINE  	50	A968           	220034         	AB61050   	102231	2022-07-02 17:21:03.020	2022-07-02 17:26:02.167	0	010            	1-8 TON   	2022-07-01	3.833
1-3T MAST MAINLINE  	60	A968           	220034         	AB61060   	600454	2022-07-02 17:26:59.470	2022-07-02 17:27:45.867	0	010            	1-8 TON   	2022-07-01	5.4998
1-3T MAST MAINLINE  	70	A968           	220034         	AB61070   	102428	2022-07-02 17:28:32.827	2022-07-02 17:30:17.667	0	010            	1-8 TON   	2022-07-01	5.4976
1-3T MAST MAINLINE  	10	M221           	196782         	AB61010   	102219	2022-07-02 17:30:27.903	2022-07-02 17:35:01.513	0	010            	1-8 TON   	2022-07-01	5.1665
1-3T CYLINDER SUB   	10	M221           	196782         	AB62030   	102379	2022-07-02 17:30:41.343	2022-07-02 17:57:09.397	0	010            	1-8 TON   	2022-07-01	4.4999
1-3T MAST VALVE SUB 	10	M221           	196782         	AB62040   	102267	2022-07-02 17:31:18.893	2022-07-02 17:38:20.430	0	010            	1-8 TON   	2022-07-01	3.3745
1-3T MAST MAINLINE  	80	A968           	220034         	AB61080   	102291	2022-07-02 17:32:20.997	2022-07-02 17:37:19.877	0	010            	1-8 TON   	2022-07-01	5.9998
1-3T CHAIN ASSEMBLY 	10	M221           	196782         	AB62022   	102103	2022-07-02 17:32:58.123	NULL	1	010            	1-8 TON   	2022-07-01	7.4
1-3T MAST MAINLINE  	20	M221           	196782         	AB61020   	102272	2022-07-02 17:36:39.260	2022-07-02 17:40:51.543	0	010            	1-8 TON   	2022-07-01	8.4159
1-3T MAST MAINLINE  	30	M221           	196782         	AB61030   	102188	2022-07-02 17:41:26.547	2022-07-02 17:43:32.767	0	010            	1-8 TON   	2022-07-01	5.5
1-3T MAST MAINLINE  	40	M221           	196782         	AB61040   	102388	2022-07-02 17:59:54.810	2022-07-02 18:03:16.397	0	010            	1-8 TON   	2022-07-01	2.25
1-3T MAST MAINLINE  	90	A968           	220034         	AB61090   	102399	2022-07-02 18:02:00.497	2022-07-02 18:02:44.080	0	010            	1-8 TON   	2022-07-01	9.2515
1-3T CARRIAGE SUB   	10	M221           	196782         	AB62050   	102415	2022-07-02 18:02:51.267	2022-07-02 18:10:53.860	0	010            	1-8 TON   	2022-07-01	5.1999
1-3T MAST MAINLINE  	50	M221           	196782         	AB61050   	102231	2022-07-02 18:03:47.023	2022-07-02 18:08:56.623	0	010            	1-8 TON   	2022-07-01	1.5
1-3T MAST MAINLINE  	70	M221           	196782         	AB61070   	102428	2022-07-02 18:10:14.387	2022-07-02 18:13:11.033	0	010            	1-8 TON   	2022-07-01	3.4999
1-3T MAST MAINLINE  	100	A968           	220034         	AB61100   	102276	2022-07-02 18:13:49.413	2022-07-02 18:16:52.343	0	010            	1-8 TON   	2022-07-01	8.9163
1-3T MAST MAINLINE  	80	M221           	196782         	AB61080   	102291	2022-07-02 18:13:51.007	2022-07-02 18:17:05.940	0	010            	1-8 TON   	2022-07-01	5
1-3T OE             	10	A968           	220034         	AB61110   	600411	2022-07-02 18:18:59.763	2022-07-02 18:23:28.390	0	010            	1-8 TON   	2022-07-01	8.4996
1-3T OE             	20	A968           	220034         	AB61120   	600355	2022-07-02 18:49:20.943	2022-07-02 18:52:44.390	0	010            	1-8 TON   	2022-07-01	7.7538
1-3T OE             	30	A968           	220034         	AB61130   	102381	2022-07-02 18:59:45.350	2022-07-02 19:04:43.280	0	010            	1-8 TON   	2022-07-01	8.7478
1-3T MAST MAINLINE  	90	M221           	196782         	AB61090   	102399	2022-07-02 19:10:32.540	2022-07-02 19:10:59.323	0	010            	1-8 TON   	2022-07-01	9.6227
1-3T OE             	40	A968           	220034         	AB61140   	102337	2022-07-02 19:12:28.117	2022-07-02 19:17:23.200	0	010            	1-8 TON   	2022-07-01	6.2598
1-3T MAST MAINLINE  	100	M221           	196782         	AB61100   	102276	2022-07-02 19:21:16.713	2022-07-02 19:27:00.067	0	010            	1-8 TON   	2022-07-01	1
1-3T OE             	50	A968           	220034         	AB61150   	102120	2022-07-02 19:27:29.417	2022-07-02 19:34:48.313	0	010            	1-8 TON   	2022-07-01	8.9998
1-3T OE             	10	M221           	196782         	AB61110   	600411	2022-07-02 19:29:16.647	2022-07-02 19:34:19.530	0	010            	1-8 TON   	2022-07-01	5.7492
1-3T OE             	20	M221           	196782         	AB61120   	600355	2022-07-02 19:34:38.937	2022-07-02 19:36:03.637	0	010            	1-8 TON   	2022-07-01	3.2499
1-3T OE             	30	M221           	196782         	AB61130   	102381	2022-07-02 19:38:45.407	2022-07-02 19:43:27.020	0	010            	1-8 TON   	2022-07-01	4.7499
